,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.821549027607779,0.8193370676427634,0.7832194121667806,0.8526315789473685,0.7972353315116918,experiment_wavelet_none_for_reduction
Linear SVC,0.8180674554603563,0.8153760433278506,0.7753588516746411,0.8526315789473685,0.7924554842482451,experiment_wavelet_none_for_reduction
NuSVC,0.8157282741738067,0.8178039215686275,0.7649008885850991,0.8568421052631578,0.7851119344238396,experiment_wavelet_none_for_reduction
MLP Classifier,0.8075683394532843,0.7967902930402931,0.7859876965140123,0.8252631578947367,0.7866829369914525,experiment_wavelet_none_for_reduction
Logistic Regression,0.8040663674690602,0.7987220629474814,0.764935064935065,0.8357894736842105,0.7767042545102325,experiment_wavelet_none_for_reduction
SVC,0.8006187950496397,0.811468523008424,0.7311346548188654,0.8568421052631578,0.7622880942332174,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7866585067319461,0.7693850636866137,0.749419002050581,0.8168421052631579,0.7578227850412667,experiment_wavelet_none_for_reduction
XGBoost,0.7818713450292398,0.7797701594574448,0.7491797676008203,0.8084210526315789,0.7557106268751195,experiment_wavelet_none_for_reduction
Extra Trees,0.7772745818033455,0.794010363038496,0.6866028708133971,0.8505263157894737,0.7307552721411703,experiment_wavelet_none_for_reduction
Random Forest,0.7679178566571467,0.7672523460045925,0.7206083390293916,0.8063157894736841,0.7316730221345605,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7655582755337957,0.7518042664743481,0.7412508544087492,0.7852631578947369,0.7382754942840737,experiment_wavelet_none_for_reduction
AdaBoost,0.7632530939752481,0.7388715787788461,0.756971975393028,0.7684210526315789,0.7412721913216274,experiment_wavelet_none_for_reduction
SGD Classifier,0.7598667210662314,0.6969863451558299,0.8640464798359535,0.6757894736842105,0.7655112703388565,experiment_wavelet_none_for_reduction
Bagging,0.7504419964640283,0.7712198376206352,0.65,0.8315789473684211,0.6982033550316274,experiment_wavelet_none_for_reduction
K-Neighbors,0.7247994016047872,0.7133820994006044,0.6553315105946685,0.7810526315789474,0.6800226276958993,experiment_wavelet_none_for_reduction
Voting,0.7236638106895146,0.7933326270812366,0.5351332877648667,0.8757894736842106,0.6279054396366301,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7073167414660683,0.7239190128606188,0.7529733424470266,0.671578947368421,0.6746032516665825,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6852441180470558,0.7246389011962784,0.4830485304169514,0.8484210526315789,0.574991294638424,experiment_wavelet_none_for_reduction
Decision Tree,0.682891336869305,0.6518880166470189,0.6526999316473001,0.7073684210526315,0.6487504093664805,experiment_wavelet_none_for_reduction
Perceptron,0.6807901536787705,0.6833601039483392,0.7588174982911824,0.616842105263158,0.672168469416639,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6770637834897321,0.7272601797899585,0.5201982228298018,0.8042105263157895,0.5845382383953586,experiment_wavelet_none_for_reduction
Gaussian NB,0.6525227798177614,0.6388631229266453,0.5115516062884484,0.7663157894736843,0.5622800099616074,experiment_wavelet_none_for_reduction

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8134026927784577,0.8083635061080926,0.7727272727272727,0.8463157894736841,0.7873399266208105,experiment_wavelet_none_for_reduction
Ridge Classifier,0.8099143206854345,0.8043668104223192,0.7675666438824335,0.8442105263157895,0.7827017257628768,experiment_wavelet_none_for_reduction
NuSVC,0.8028967768257853,0.8035905135905136,0.749213943950786,0.8463157894736841,0.7707603801721465,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.8017747858017137,0.7892740732258805,0.764935064935065,0.8315789473684211,0.7752712395718451,experiment_wavelet_none_for_reduction
MLP Classifier,0.8017203862369101,0.7828776581941139,0.7805536568694464,0.8189473684210526,0.7792690620056495,experiment_wavelet_none_for_reduction
SVC,0.7982592139262886,0.8118665076812158,0.7232057416267942,0.8589473684210527,0.7578047804604793,experiment_wavelet_none_for_reduction
Logistic Regression,0.7959064327485381,0.7886713028818292,0.7491797676008203,0.8336842105263159,0.7653733727280415,experiment_wavelet_none_for_reduction
SGD Classifier,0.7878484972120223,0.8079607200587553,0.7336637047163364,0.8315789473684211,0.7521118730893167,experiment_wavelet_none_for_reduction
Extra Trees,0.7807357541139671,0.795818499518777,0.7206083390293917,0.8294736842105264,0.7465959851568831,experiment_wavelet_none_for_reduction
XGBoost,0.7667278661770707,0.7651819887429644,0.7334928229665072,0.7936842105263159,0.7394460022676721,experiment_wavelet_none_for_reduction
Random Forest,0.7632394940840473,0.7592312875846641,0.7152768284347231,0.8021052631578949,0.7275422135729218,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7597239222086223,0.7471233439087711,0.7255980861244018,0.7873684210526315,0.7295808989953979,experiment_wavelet_none_for_reduction
AdaBoost,0.7562695498436012,0.7299467041021022,0.749213943950786,0.7621052631578946,0.7335562607107515,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7412348701210391,0.798279119254729,0.6406698564593302,0.8231578947368421,0.67629619819973,experiment_wavelet_none_for_reduction
Bagging,0.7318237454100368,0.7424624987415684,0.6318181818181818,0.8126315789473685,0.6739150464640661,experiment_wavelet_none_for_reduction
Voting,0.7318101455188359,0.7961984874371177,0.5691387559808613,0.8631578947368421,0.6511896824781898,experiment_wavelet_none_for_reduction
K-Neighbors,0.7213586291309669,0.7077927423328598,0.6607313738892686,0.7705263157894737,0.6773150374455496,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.7096695226438189,0.7128923448421067,0.6111073137388927,0.7894736842105263,0.6503022118530288,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6852441180470558,0.7246389011962784,0.4830485304169514,0.8484210526315789,0.574991294638424,experiment_wavelet_none_for_reduction
Decision Tree,0.6840337277301781,0.639290265552483,0.6917976760082023,0.6778947368421053,0.661476316474417,experiment_wavelet_none_for_reduction
Perceptron,0.6641710866313069,0.6085086673855968,0.8951811346548189,0.47789473684210526,0.7101106200773115,experiment_wavelet_none_for_reduction
Gaussian NB,0.6606895144838841,0.6546078535194656,0.5220779220779221,0.7726315789473686,0.5759895022309782,experiment_wavelet_none_for_reduction
