,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.8157146742826058,0.8163508563508565,0.7727272727272727,0.8505263157894737,0.790122017819597,experiment_wavelet_m1_all_r
Linear SVC,0.8098939208486332,0.8034651616653299,0.7726930963773068,0.8400000000000001,0.7843640070158876,experiment_wavelet_m1_all_r
NuSVC,0.8029103767169863,0.8065122076655957,0.7493164730006835,0.8463157894736841,0.7708375030257534,experiment_wavelet_m1_all_r
MLP Classifier,0.8028831769345846,0.7935862780298995,0.770164046479836,0.8294736842105263,0.7781779183619675,experiment_wavelet_m1_all_r
Logistic Regression,0.8017339861281109,0.8008184577150095,0.7597744360902257,0.8357894736842105,0.7739033278371027,experiment_wavelet_m1_all_r
Linear Discriminant Analysis,0.7842513259893921,0.7642296979189813,0.7543745727956254,0.8084210526315789,0.7578441637721189,experiment_wavelet_m1_all_r
SVC,0.7796477628178975,0.788672795286027,0.7023923444976077,0.8421052631578947,0.7371065493646138,experiment_wavelet_m1_all_r
XGBoost,0.7644022847817217,0.7619154865294069,0.7230006835269993,0.7978947368421052,0.7319733759966032,experiment_wavelet_m1_all_r
Extra Trees,0.7632870937032503,0.7727150097757189,0.6920027341079973,0.8210526315789473,0.7178244991662835,experiment_wavelet_m1_all_r
Gradient Boosting,0.7527063783489731,0.747280167965844,0.7152084757347914,0.7831578947368422,0.7207649002685412,experiment_wavelet_m1_all_r
SGD Classifier,0.7516387868897049,0.7171030873902712,0.8243677375256322,0.6926315789473685,0.7454589623303003,experiment_wavelet_m1_all_r
Random Forest,0.7515503875968992,0.7594888196380734,0.6786056049213945,0.8105263157894737,0.7070364149420001,experiment_wavelet_m1_all_r
AdaBoost,0.7434312525499797,0.7264316334072431,0.7257347915242651,0.7578947368421052,0.7153807586275118,experiment_wavelet_m1_all_r
Passive Aggressive,0.7339725282197742,0.6801246938007027,0.8802460697197538,0.616842105263158,0.7549846409260913,experiment_wavelet_m1_all_r
Voting,0.7271861825105399,0.8066918601631083,0.5378673957621326,0.8800000000000001,0.6342321891059659,experiment_wavelet_m1_all_r
K-Neighbors,0.7050183598531212,0.6907670640777848,0.6241285030758716,0.7705263157894737,0.6503564029274116,experiment_wavelet_m1_all_r
Bagging,0.7049095607235143,0.7041401586526159,0.6079972658920028,0.7831578947368422,0.6448675140496156,experiment_wavelet_m1_all_r
Quadratic Discriminant Analysis,0.6933156534747722,0.6995863365784978,0.5664046479835954,0.7957894736842105,0.6208006298090332,experiment_wavelet_m1_all_r
Bernoulli NB,0.6829117367061064,0.7220192621831967,0.48045112781954896,0.8463157894736841,0.5719637848420843,experiment_wavelet_m1_all_r
Decision Tree,0.6770569835441317,0.6421677162772247,0.637012987012987,0.7094736842105263,0.6347010843944201,experiment_wavelet_m1_all_r
Perceptron,0.6421188630490956,0.6749633246920279,0.7760082023239918,0.5347368421052632,0.6432722524528655,experiment_wavelet_m1_all_r
Gaussian NB,0.6408812729498163,0.6322060632205464,0.47501708817498295,0.7747368421052633,0.5360932882793348,experiment_wavelet_m1_all_r
