,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.8262137902896776,0.8316820619002497,0.780587833219412,0.8631578947368421,0.8012331172486759,experiment_wavelet_none_for_reduction
Linear SVC,0.8157146742826056,0.8155809415884198,0.7726930963773069,0.8505263157894737,0.7905433311970376,experiment_wavelet_none_for_reduction
MLP Classifier,0.8122399020807833,0.8059858747796985,0.7780929596719071,0.8400000000000001,0.7883016872912216,experiment_wavelet_none_for_reduction
NuSVC,0.8122263021895826,0.8182170124314343,0.7571086807928913,0.856842105263158,0.7812885450223346,experiment_wavelet_none_for_reduction
Logistic Regression,0.8028967768257853,0.7998684673994527,0.7623376623376623,0.8357894736842105,0.7753952302464888,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7970896232830137,0.7846097411634085,0.7596377306903623,0.8273684210526315,0.7704523928045054,experiment_wavelet_none_for_reduction
SVC,0.7912960696314429,0.8041366429089682,0.7154818865345182,0.8526315789473685,0.7494534884884267,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7761525907792738,0.7482051282051281,0.793609022556391,0.7621052631578946,0.7589929218532477,experiment_wavelet_none_for_reduction
Extra Trees,0.774969400244798,0.7924710726862807,0.689336978810663,0.8442105263157895,0.7276848110597766,experiment_wavelet_none_for_reduction
XGBoost,0.7667346661226709,0.7601304044719226,0.7282296650717703,0.7978947368421052,0.7357013582180898,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7620427036583708,0.750105244876116,0.7308270676691729,0.7873684210526315,0.7329229467734588,experiment_wavelet_none_for_reduction
SGD Classifier,0.758547531619747,0.7942801976416677,0.7046821599453177,0.8021052631578947,0.6987074187307181,experiment_wavelet_none_for_reduction
Random Forest,0.7574323405412757,0.7652984895449394,0.691866028708134,0.8105263157894737,0.715182723122619,experiment_wavelet_none_for_reduction
AdaBoost,0.7469740242078063,0.7147586040429689,0.7387218045112782,0.7536842105263157,0.7240355302577689,experiment_wavelet_none_for_reduction
Bagging,0.7317965456276351,0.7375540540540542,0.6394395078605605,0.8063157894736841,0.6782530266062509,experiment_wavelet_none_for_reduction
Voting,0.7283353733170135,0.7917337865210973,0.5508202323991798,0.8715789473684211,0.6420228379722748,experiment_wavelet_none_for_reduction
K-Neighbors,0.7236502107983137,0.7109710430545819,0.6579972658920028,0.7768421052631579,0.680370344574449,experiment_wavelet_none_for_reduction
Perceptron,0.7155378756969945,0.7435416601386156,0.7120642515379358,0.7178947368421053,0.6703203179752648,experiment_wavelet_none_for_reduction
Decision Tree,0.6957432340541275,0.6591529364901036,0.660457963089542,0.7242105263157894,0.6576163822095609,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6852441180470558,0.7246389011962784,0.4830485304169514,0.8484210526315789,0.574991294638424,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6840269277845776,0.723873002712948,0.5118591934381408,0.8231578947368421,0.5933738034593296,experiment_wavelet_none_for_reduction
Gaussian NB,0.6455324357405141,0.6311193011193011,0.4958988380041012,0.7663157894736843,0.5491894085972777,experiment_wavelet_none_for_reduction

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.8180606555147559,0.8154940544687381,0.7753246753246753,0.8526315789473685,0.7913379705765783,experiment_wavelet_none_for_reduction
Linear SVC,0.8145518835849312,0.8113485273479103,0.7700273410799726,0.8505263157894737,0.7877417079932265,experiment_wavelet_none_for_reduction
NuSVC,0.8110567115463077,0.8181953393021505,0.7518455228981545,0.8589473684210527,0.7787776874631667,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.8052631578947368,0.798138913106655,0.7570061517429938,0.8442105263157895,0.7757092065607007,experiment_wavelet_none_for_reduction
