,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145314837481299,0.8106549016226436,0.772658920027341,0.848421052631579,0.7890970946744909,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7959200326397389,0.7892015898865214,0.7465481886534518,0.8357894736842105,0.7650153872972665,experiment_wavelet_none_for_reduction
MLP Classifier,0.7958656330749354,0.7990044312916914,0.7465140123034859,0.8357894736842105,0.7670881339455909,experiment_wavelet_none_for_reduction
NuSVC,0.7934924520603835,0.8087562209997097,0.7334586466165414,0.8421052631578949,0.7610720908542173,experiment_wavelet_none_for_reduction
Ridge Classifier,0.7900720794233647,0.7904414857961769,0.736226930963773,0.8336842105263157,0.7587933691099915,experiment_wavelet_none_for_reduction
Logistic Regression,0.7877328981368149,0.7884444322800488,0.7361585782638415,0.8294736842105263,0.7558711786050135,experiment_wavelet_none_for_reduction
SVC,0.7725962192302462,0.7848061818930239,0.6996924128503077,0.8315789473684211,0.7303893179990741,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7526859785121719,0.7412310746732167,0.7203349282296652,0.7789473684210526,0.7254528249373331,experiment_wavelet_none_for_reduction
Extra Trees,0.7480892152862777,0.7572097737942809,0.6735133287764867,0.8084210526315789,0.7023461002619171,experiment_wavelet_none_for_reduction
XGBoost,0.748048415612675,0.7390941631094754,0.7126110731373889,0.7768421052631579,0.7190186955901242,experiment_wavelet_none_for_reduction
Random Forest,0.7433972528219773,0.7470401833537964,0.6891660970608339,0.7873684210526315,0.7078863219341529,experiment_wavelet_none_for_reduction
AdaBoost,0.7235958112335101,0.704143697809333,0.7126452494873547,0.7326315789473684,0.7012678835463646,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7214878280973751,0.7352196349511786,0.7071770334928229,0.7326315789473684,0.6992469247382057,experiment_wavelet_none_for_reduction
Voting,0.7189650482796137,0.7700974025974026,0.5401913875598086,0.8631578947368421,0.6274227351393502,experiment_wavelet_none_for_reduction
Bagging,0.7166054671562627,0.7142009359926175,0.6395078605604921,0.7789473684210526,0.6668073914649704,experiment_wavelet_none_for_reduction
K-Neighbors,0.7108119135046919,0.6894640489478026,0.6816814764183186,0.7347368421052632,0.6773451515253787,experiment_wavelet_none_for_reduction
SGD Classifier,0.6865225078199375,0.6534785612396131,0.83796992481203,0.5642105263157895,0.7087134688618433,experiment_wavelet_none_for_reduction
Decision Tree,0.6758261933904528,0.6421772300469484,0.6473000683526999,0.6989473684210527,0.6419243186800306,experiment_wavelet_none_for_reduction
Gaussian NB,0.6700190398476812,0.668005837090986,0.5193779904306219,0.7915789473684212,0.5784878261213825,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6689582483340133,0.6982536206004714,0.46230348598769655,0.8357894736842105,0.5502338039613287,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6525023799809601,0.6717963286349368,0.5952836637047163,0.6989473684210525,0.5889702910492082,experiment_wavelet_none_for_reduction
Perceptron,0.6202230382156942,0.6427157551928194,0.7312713602187286,0.5305263157894737,0.5941613319418577,experiment_wavelet_none_for_reduction

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear Discriminant Analysis,0.8029443764449884,0.800266022498809,0.7492822966507177,0.8463157894736841,0.7724662902999666,experiment_wavelet_none_for_reduction
MLP Classifier,0.7970284237726097,0.7974273967651577,0.7543745727956254,0.8315789473684211,0.7705080007711587,experiment_wavelet_none_for_reduction
Linear SVC,0.7935604515163879,0.7880415155415156,0.7492139439507861,0.8294736842105264,0.7660992173198587,experiment_wavelet_none_for_reduction
Ridge Classifier,0.7889092887256901,0.7889051519002219,0.7335953520164047,0.8336842105263157,0.7572691289010306,experiment_wavelet_none_for_reduction
NuSVC,0.7865089079287366,0.7910688626153521,0.7360902255639098,0.8273684210526315,0.7561233680635626,experiment_wavelet_none_for_reduction
Logistic Regression,0.7784101727186182,0.7784328795198361,0.7231032125768968,0.8231578947368421,0.7452896079744691,experiment_wavelet_none_for_reduction
SVC,0.7714130286957704,0.7819249931749932,0.6995898838004102,0.8294736842105263,0.7299487197521881,experiment_wavelet_none_for_reduction
SGD Classifier,0.7598191214470285,0.7692654037896414,0.7121667805878331,0.7978947368421053,0.722815918904495,experiment_wavelet_none_for_reduction
Gradient Boosting,0.756201550387597,0.7420533783274798,0.7281954887218045,0.7789473684210526,0.7294817148651058,experiment_wavelet_none_for_reduction
XGBoost,0.7515231878144976,0.7393939393939395,0.7255639097744361,0.7726315789473684,0.7253304381662955,experiment_wavelet_none_for_reduction
Extra Trees,0.7445940432476539,0.7509944454935188,0.6814764183185236,0.7957894736842106,0.7065525791265798,experiment_wavelet_none_for_reduction
Random Forest,0.7410376716986264,0.7465584655239718,0.6864319890635681,0.7852631578947369,0.7064531341486587,experiment_wavelet_none_for_reduction
