,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145314837481299,0.8106549016226436,0.772658920027341,0.848421052631579,0.7890970946744909,experiment_wavelet_none_for_reduction
MLP Classifier,0.7993676050591596,0.8055126791920666,0.7385850991114149,0.848421052631579,0.7656823963214713,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7959200326397389,0.7892015898865214,0.7465481886534518,0.8357894736842105,0.7650153872972665,experiment_wavelet_none_for_reduction
NuSVC,0.7934924520603835,0.8087562209997097,0.7334586466165414,0.8421052631578949,0.7610720908542173,experiment_wavelet_none_for_reduction
Ridge Classifier,0.7900720794233647,0.7904414857961769,0.736226930963773,0.8336842105263157,0.7587933691099915,experiment_wavelet_none_for_reduction
Logistic Regression,0.7877328981368149,0.7884444322800488,0.7361585782638415,0.8294736842105263,0.7558711786050135,experiment_wavelet_none_for_reduction
SVC,0.7725962192302462,0.7848061818930239,0.6996924128503077,0.8315789473684211,0.7303893179990741,experiment_wavelet_none_for_reduction
Extra Trees,0.7562899496804026,0.7617163126540472,0.6893028024606973,0.8105263157894738,0.7135618847441635,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7503535971712225,0.7383463981932843,0.7177375256322625,0.7768421052631579,0.7224675014188222,experiment_wavelet_none_for_reduction
XGBoost,0.748048415612675,0.7390941631094754,0.7126110731373889,0.7768421052631579,0.7190186955901242,experiment_wavelet_none_for_reduction
Random Forest,0.746919624643003,0.7529678474835004,0.6761107313738892,0.8042105263157895,0.7031777373386747,experiment_wavelet_none_for_reduction
SGD Classifier,0.744702842377261,0.8454284369114877,0.5828434723171565,0.8757894736842105,0.659414525601828,experiment_wavelet_none_for_reduction
Bagging,0.7341425268597852,0.7658023111046912,0.6108339029391661,0.8336842105263159,0.6681136158473311,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7341357269141847,0.6851838724553279,0.8110047846889952,0.671578947368421,0.7224084752072081,experiment_wavelet_none_for_reduction
AdaBoost,0.7235958112335101,0.704143697809333,0.7126452494873547,0.7326315789473684,0.7012678835463646,experiment_wavelet_none_for_reduction
Voting,0.7213042295661636,0.782144542384094,0.5428913192071086,0.8652631578947367,0.6320895382427194,experiment_wavelet_none_for_reduction
K-Neighbors,0.7108119135046919,0.6894640489478026,0.6816814764183186,0.7347368421052632,0.6773451515253787,experiment_wavelet_none_for_reduction
Decision Tree,0.6874405004759963,0.6562917606066817,0.6472658920027341,0.72,0.6498169271175895,experiment_wavelet_none_for_reduction
Gaussian NB,0.6700190398476812,0.668005837090986,0.5193779904306219,0.7915789473684212,0.5784878261213825,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6689582483340133,0.6982536206004714,0.46230348598769655,0.8357894736842105,0.5502338039613287,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6525023799809601,0.6717963286349368,0.5952836637047163,0.6989473684210525,0.5889702910492082,experiment_wavelet_none_for_reduction
Perceptron,0.6202230382156942,0.6427157551928194,0.7312713602187286,0.5305263157894737,0.5941613319418577,experiment_wavelet_none_for_reduction

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear Discriminant Analysis,0.7830613355093159,0.785734673616282,0.7151401230348599,0.8378947368421054,0.7453672223792239,experiment_wavelet_none_for_reduction
Linear SVC,0.7737590099279206,0.7760610053287997,0.7100136705399863,0.8252631578947369,0.7387931328566284,experiment_wavelet_none_for_reduction
NuSVC,0.7690534475724193,0.7684458509142054,0.7125427204374573,0.8147368421052631,0.7347175364316038,experiment_wavelet_none_for_reduction
Ridge Classifier,0.7667686658506732,0.7645399471469336,0.7048188653451811,0.8168421052631579,0.730617681969947,experiment_wavelet_none_for_reduction
MLP Classifier,0.7621039031687746,0.7534698573551996,0.7100136705399864,0.8042105263157895,0.7277019460870228,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7550523595811233,0.738388977407886,0.7308270676691728,0.7747368421052631,0.7302952387445734,experiment_wavelet_none_for_reduction
XGBoost,0.7457568339453283,0.7352974726429069,0.702118933697881,0.7810526315789473,0.7118916508249573,experiment_wavelet_none_for_reduction
Logistic Regression,0.7434924520603835,0.7399367251554564,0.6735133287764867,0.8,0.7008952202867436,experiment_wavelet_none_for_reduction
Extra Trees,0.7434108527131782,0.7562454227360119,0.6786739576213261,0.7957894736842106,0.7051437290408299,experiment_wavelet_none_for_reduction
SVC,0.7410988712090304,0.7501808208769158,0.6577922077922078,0.8084210526315789,0.6958837629136166,experiment_wavelet_none_for_reduction
AdaBoost,0.7317625458996327,0.7086357623172713,0.710047846889952,0.7494736842105263,0.7035925526686431,experiment_wavelet_none_for_reduction
Random Forest,0.7305657554739563,0.7342637298821968,0.6681476418318524,0.7810526315789474,0.6904259565708359,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.7084931320549436,0.7264954574114411,0.5717703349282296,0.8189473684210526,0.6332585353028775,experiment_wavelet_none_for_reduction
Voting,0.707282741738066,0.7536742427208958,0.5296992481203008,0.8505263157894737,0.6112912950879053,experiment_wavelet_none_for_reduction
Bagging,0.7061267509859921,0.7210530413027167,0.5978127136021872,0.7936842105263159,0.6478918585982638,experiment_wavelet_none_for_reduction
SGD Classifier,0.6968992248062016,0.7547587054366715,0.6535543403964457,0.7326315789473684,0.6371551909512687,experiment_wavelet_none_for_reduction
K-Neighbors,0.6874949000407996,0.6771969747163545,0.608339029391661,0.751578947368421,0.6319832621616776,experiment_wavelet_none_for_reduction
Gaussian NB,0.6723786209710323,0.6842163081212317,0.5038277511961723,0.8084210526315789,0.5753558150743011,experiment_wavelet_none_for_reduction
Decision Tree,0.6560179518563852,0.6153390016056051,0.6237525632262475,0.6821052631578948,0.6169707808438961,experiment_wavelet_none_for_reduction
Passive Aggressive,0.6214334285325718,0.6770857134147868,0.6894053315105946,0.5663157894736842,0.5600627018520594,experiment_wavelet_none_for_reduction
Perceptron,0.5898952808377532,0.6139010880339808,0.7033151059466849,0.49684210526315786,0.5892594337600678,experiment_wavelet_none_for_reduction
Bernoulli NB,0.5886168910648715,0.5409299563273221,0.49606971975393027,0.6631578947368422,0.5152728942214934,experiment_wavelet_none_for_reduction
