,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8145586835305318,0.8101779745847543,0.7753246753246753,0.8463157894736841,0.7892475658855845,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.8145586835305316,0.8215427531966121,0.7517429938482569,0.8652631578947367,0.7813058833262383,experiment_nonefilter_for_feature_reduction
Ridge Classifier,0.8099143206854345,0.8071053532028365,0.7675666438824335,0.8442105263157895,0.7826866492573321,experiment_nonefilter_for_feature_reduction
Linear Discriminant Analysis,0.7994220046239631,0.7835338862568919,0.7700615174299384,0.8231578947368421,0.7734598235325192,experiment_nonefilter_for_feature_reduction
Logistic Regression,0.799422004623963,0.8015449691318756,0.7466848940533151,0.8421052631578947,0.7676150128505979,experiment_nonefilter_for_feature_reduction
NuSVC,0.7994016047871617,0.8117870960024026,0.7309637730690363,0.8547368421052631,0.7620037109069367,experiment_nonefilter_for_feature_reduction
SVC,0.783108935128519,0.7961767030188083,0.6996924128503077,0.8505263157894737,0.7383615014561761,experiment_nonefilter_for_feature_reduction
XGBoost,0.778376172990616,0.7720168867341861,0.7360902255639097,0.8126315789473685,0.7453408029878619,experiment_nonefilter_for_feature_reduction
Extra Trees,0.771453828369373,0.7747890671420083,0.7050239234449761,0.8252631578947367,0.7297671089050838,experiment_nonefilter_for_feature_reduction
Random Forest,0.7644294845641235,0.7755323635679842,0.697095010252905,0.8189473684210526,0.7205615612182589,experiment_nonefilter_for_feature_reduction
Gradient Boosting,0.7585339317285462,0.7470681493004543,0.7281613123718387,0.783157894736842,0.7308429186496925,experiment_nonefilter_for_feature_reduction
Perceptron,0.7551951584387325,0.7274291725168289,0.7820574162679426,0.7326315789473684,0.7310247921501007,experiment_nonefilter_for_feature_reduction
AdaBoost,0.7527267781857747,0.737453969591956,0.7203007518796991,0.7789473684210526,0.7232680578478268,experiment_nonefilter_for_feature_reduction
SGD Classifier,0.7389160886712907,0.882316893813119,0.5227614490772385,0.9136842105263157,0.619621240900164,experiment_nonefilter_for_feature_reduction
Voting,0.7341765265877873,0.8069420587621234,0.540293916609706,0.8905263157894737,0.6386492259145115,experiment_nonefilter_for_feature_reduction
K-Neighbors,0.7294981640146879,0.7193930508594237,0.6818523581681476,0.7684210526315789,0.687758346581876,experiment_nonefilter_for_feature_reduction
Bagging,0.7294845641234871,0.7335409903574461,0.6367737525632263,0.8042105263157895,0.6752815806327825,experiment_nonefilter_for_feature_reduction
Decision Tree,0.6980552155582755,0.6632229448676269,0.6706425153793575,0.72,0.6628090083476564,experiment_nonefilter_for_feature_reduction
Bernoulli NB,0.6829253365973071,0.7120064225637998,0.49354066985645934,0.8357894736842105,0.5780960183424173,experiment_nonefilter_for_feature_reduction
Quadratic Discriminant Analysis,0.6723786209710323,0.6843769390761414,0.6242652084757347,0.711578947368421,0.6073761994370581,experiment_nonefilter_for_feature_reduction
Gaussian NB,0.661859105127159,0.6546529977312038,0.5220437457279562,0.7747368421052632,0.5764898649527453,experiment_nonefilter_for_feature_reduction
Passive Aggressive,0.6491704066367469,0.6263028636739987,0.906015037593985,0.44210526315789467,0.7119466889579301,experiment_nonefilter_for_feature_reduction
MLP Classifier,0.7854549163606691,0.7713836477987421,0.74419002050581,0.8189473684210528,0.7525069651491963,experiment_wavelet_butter
Ridge Classifier,0.7842241262069903,0.7815796570379295,0.7440874914559126,0.8168421052631579,0.7537103191241556,experiment_wavelet_butter
Linear SVC,0.7795729634162927,0.7703227097116995,0.7467190704032809,0.8063157894736841,0.7506883793765668,experiment_wavelet_butter
