,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
MLP Classifier,0.8262001903984768,0.8169051788290563,0.7961722488038279,0.8505263157894737,0.8033460808262902,experiment_wavelet_none_for_reduction
Ridge Classifier,0.8192302461580308,0.8201910091801505,0.7753588516746411,0.8547368421052631,0.7933898791192878,experiment_wavelet_none_for_reduction
Linear SVC,0.8110431116551068,0.8068860032868006,0.772658920027341,0.8421052631578947,0.7859552760307478,experiment_wavelet_none_for_reduction
NuSVC,0.8087311301509589,0.8118932028507606,0.7518455228981545,0.8547368421052631,0.7758660229402816,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7959336325309397,0.7857683982683982,0.7518455228981545,0.8315789473684211,0.7674604487281875,experiment_wavelet_none_for_reduction
Logistic Regression,0.795906432748538,0.7938433390508861,0.7492822966507177,0.8336842105263157,0.7660987722288033,experiment_wavelet_none_for_reduction
SVC,0.7936148510811913,0.8133426773152801,0.7102187286397813,0.8610526315789475,0.7509076476044093,experiment_wavelet_none_for_reduction
SGD Classifier,0.7912688698490411,0.774942298632166,0.7752563226247438,0.8042105263157895,0.766949950335255,experiment_wavelet_none_for_reduction
XGBoost,0.7795321637426901,0.7821559392987965,0.741285030758715,0.8105263157894738,0.7515498365113418,experiment_wavelet_none_for_reduction
Extra Trees,0.7632530939752481,0.7803600357521926,0.6761107313738892,0.8336842105263157,0.7133692157016802,experiment_wavelet_none_for_reduction
Random Forest,0.760920712634299,0.7590292699359198,0.7075187969924813,0.8042105263157895,0.7247782877125295,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7526995784033728,0.741945519875087,0.7150717703349281,0.783157894736842,0.7200595613577645,experiment_wavelet_none_for_reduction
AdaBoost,0.742295661634707,0.7257757944271575,0.7178742310321258,0.7621052631578948,0.7148890951604165,experiment_wavelet_none_for_reduction
Bagging,0.7399768801849586,0.7465213338462728,0.6473342447026658,0.8147368421052631,0.687306070452616,experiment_wavelet_none_for_reduction
Voting,0.7329865361077111,0.8126598677335973,0.5561175666438823,0.8757894736842106,0.6451028094823517,experiment_wavelet_none_for_reduction
K-Neighbors,0.7283013735890114,0.7141856413452657,0.6710868079289132,0.7747368421052631,0.6872868669909835,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7145518835849314,0.7164334012957074,0.7255639097744361,0.7052631578947368,0.680857864364379,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6852441180470558,0.7246389011962784,0.4830485304169514,0.8484210526315789,0.574991294638424,experiment_wavelet_none_for_reduction
Decision Tree,0.6793825649394806,0.6413608703669554,0.642071086807929,0.7094736842105264,0.6396069898527849,experiment_wavelet_none_for_reduction
Perceptron,0.6726302189582484,0.6045373779308606,0.9133971291866029,0.4778947368421053,0.7203066807103383,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6560519515843873,0.6772859203712198,0.5195830485304169,0.7663157894736842,0.5572018405762058,experiment_wavelet_none_for_reduction
Gaussian NB,0.6467020263837889,0.631333101021208,0.5037593984962406,0.7621052631578948,0.5552764941507281,experiment_wavelet_none_for_reduction

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.7971032231742147,0.8091700974279256,0.723069036226931,0.8568421052631578,0.75956923967635,experiment_wavelet_none_for_reduction
NuSVC,0.794750441996464,0.797172207247679,0.7388243335611756,0.8400000000000001,0.7625057446110078,experiment_wavelet_none_for_reduction
Linear SVC,0.7912416700666395,0.7958800289463905,0.7256322624743679,0.8442105263157895,0.7567850528351534,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.787780497756018,0.7873918078370133,0.7284005468215995,0.8357894736842105,0.7531657102567497,experiment_wavelet_none_for_reduction
MLP Classifier,0.7807765537875697,0.779127581560181,0.7178058783321941,0.8315789473684209,0.7430859241959812,experiment_wavelet_none_for_reduction
