,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.8192302461580308,0.8201910091801505,0.7753588516746411,0.8547368421052631,0.7933898791192878,experiment_wavelet_none_for_reduction
Linear SVC,0.8110431116551068,0.8068860032868006,0.772658920027341,0.8421052631578947,0.7859552760307478,experiment_wavelet_none_for_reduction
NuSVC,0.8087311301509589,0.8118932028507606,0.7518455228981545,0.8547368421052631,0.7758660229402816,experiment_wavelet_none_for_reduction
MLP Classifier,0.8040595675234596,0.7984676001302506,0.7596377306903622,0.8400000000000001,0.7763787936995774,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7959336325309397,0.7857683982683982,0.7518455228981545,0.8315789473684211,0.7674604487281875,experiment_wavelet_none_for_reduction
Logistic Regression,0.795906432748538,0.7938433390508861,0.7492822966507177,0.8336842105263157,0.7660987722288033,experiment_wavelet_none_for_reduction
SVC,0.7936148510811913,0.8133426773152801,0.7102187286397813,0.8610526315789475,0.7509076476044093,experiment_wavelet_none_for_reduction
XGBoost,0.7795321637426901,0.7821559392987965,0.741285030758715,0.8105263157894738,0.7515498365113418,experiment_wavelet_none_for_reduction
SGD Classifier,0.7679314565483476,0.7854640968933909,0.7146958304853042,0.8105263157894737,0.7272044827779287,experiment_wavelet_none_for_reduction
Extra Trees,0.7668094655242758,0.7746353549032331,0.6840396445659603,0.8336842105263157,0.7186467022039881,experiment_wavelet_none_for_reduction
Random Forest,0.758608731130151,0.7661984239092459,0.6919343814080656,0.8126315789473683,0.7164690169269246,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7517203862369101,0.725996075160858,0.78838004101162,0.7221052631578948,0.7350058588022605,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7515367877056984,0.741410903462363,0.7124743677375257,0.783157894736842,0.718608117395472,experiment_wavelet_none_for_reduction
AdaBoost,0.742295661634707,0.7257757944271575,0.7178742310321258,0.7621052631578948,0.7148890951604165,experiment_wavelet_none_for_reduction
Voting,0.7376988984088128,0.8187369172556579,0.5509911141490089,0.888421052631579,0.6465297573615362,experiment_wavelet_none_for_reduction
K-Neighbors,0.7283013735890114,0.7141856413452657,0.6710868079289132,0.7747368421052631,0.6872868669909835,experiment_wavelet_none_for_reduction
Bagging,0.7154970760233919,0.700036652037636,0.6526315789473685,0.7663157894736842,0.6676669907644021,experiment_wavelet_none_for_reduction
Decision Tree,0.6875696994424045,0.6513420469132922,0.6422419685577581,0.7242105263157894,0.6433034923544395,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6852441180470558,0.7246389011962784,0.4830485304169514,0.8484210526315789,0.574991294638424,experiment_wavelet_none_for_reduction
Perceptron,0.6726302189582484,0.6045373779308606,0.9133971291866029,0.4778947368421053,0.7203066807103383,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6560519515843873,0.6772859203712198,0.5195830485304169,0.7663157894736842,0.5572018405762058,experiment_wavelet_none_for_reduction
Gaussian NB,0.6467020263837889,0.631333101021208,0.5037593984962406,0.7621052631578948,0.5552764941507281,experiment_wavelet_none_for_reduction

,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Linear SVC,0.8157282741738066,0.8149583393957031,0.7700615174299384,0.8526315789473685,0.7890252334905369,experiment_wavelet_none_for_reduction
NuSVC,0.8122263021895826,0.8118035203789921,0.7622693096377307,0.8526315789473685,0.7819490443331503,experiment_wavelet_none_for_reduction
Ridge Classifier,0.8110567115463077,0.8101287679147061,0.7675324675324675,0.8463157894736841,0.7845164968081177,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.8052835577315381,0.8009154295996401,0.7545112781954887,0.8463157894736841,0.7751932101260082,experiment_wavelet_none_for_reduction
MLP Classifier,0.8052223582211342,0.7911548019881354,0.775358851674641,0.8294736842105264,0.7789723258638779,experiment_wavelet_none_for_reduction
SVC,0.7947708418332653,0.8148912669512635,0.7128161312371839,0.8610526315789475,0.7535035955239929,experiment_wavelet_none_for_reduction
Logistic Regression,0.7947572419420645,0.798288216254235,0.7362269309637731,0.8421052631578947,0.7618719517857772,experiment_wavelet_none_for_reduction
SGD Classifier,0.770359037127703,0.8194472231431165,0.6814764183185236,0.8421052631578947,0.7211185324447256,experiment_wavelet_none_for_reduction
XGBoost,0.7678974568203454,0.7641028416028416,0.7177375256322625,0.8084210526315789,0.7347751549367654,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7620699034407725,0.7541808322588065,0.7230690362269311,0.7936842105263159,0.7304063631808739,experiment_wavelet_none_for_reduction
Random Forest,0.7551475588195296,0.7621291157330317,0.6868079289131921,0.8105263157894737,0.7118859937711102,experiment_wavelet_none_for_reduction
Extra Trees,0.7539643682850538,0.7564001958920289,0.6866712235133289,0.8084210526315789,0.7117675306503763,experiment_wavelet_none_for_reduction
AdaBoost,0.7469536243710051,0.7183517453599502,0.7359876965140122,0.7557894736842106,0.7203040991497411,experiment_wavelet_none_for_reduction
Voting,0.7329729362165104,0.813871017647498,0.5454887218045112,0.8842105263157896,0.6411490062148246,experiment_wavelet_none_for_reduction
K-Neighbors,0.717843057255542,0.7000679691412145,0.6658578263841421,0.76,0.6769707596325244,experiment_wavelet_none_for_reduction
Bagging,0.7166598667210662,0.7115947766088757,0.6316473000683527,0.7852631578947368,0.6630135825280321,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.7119883040935673,0.7177047352742292,0.6084415584415584,0.7957894736842106,0.65177427297737,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6852441180470558,0.7246389011962784,0.4830485304169514,0.8484210526315789,0.574991294638424,experiment_wavelet_none_for_reduction
Decision Tree,0.6840677274581803,0.6404813536609816,0.6657552973342448,0.6989473684210525,0.6509067511075061,experiment_wavelet_none_for_reduction
Gaussian NB,0.6630286957704337,0.6539733419675139,0.5351674641148325,0.7663157894736843,0.5843868827007,experiment_wavelet_none_for_reduction
Passive Aggressive,0.6598395212838297,0.6021399063219688,0.892412850307587,0.4715789473684211,0.7060116278772217,experiment_wavelet_none_for_reduction
Perceptron,0.6517543859649123,0.6007812080227749,0.8923103212576897,0.4568421052631579,0.7034330852169427,experiment_wavelet_none_for_reduction
