,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,experiment
Ridge Classifier,0.8192302461580308,0.8201910091801505,0.7753588516746411,0.8547368421052631,0.7933898791192878,experiment_wavelet_none_for_reduction
MLP Classifier,0.812219502243982,0.8117707637188959,0.7648667122351333,0.8505263157894737,0.7837557741110428,experiment_wavelet_none_for_reduction
Linear SVC,0.8110431116551068,0.8068860032868006,0.772658920027341,0.8421052631578947,0.7859552760307478,experiment_wavelet_none_for_reduction
NuSVC,0.8087311301509589,0.8118932028507606,0.7518455228981545,0.8547368421052631,0.7758660229402816,experiment_wavelet_none_for_reduction
Linear Discriminant Analysis,0.7959336325309397,0.7857683982683982,0.7518455228981545,0.8315789473684211,0.7674604487281875,experiment_wavelet_none_for_reduction
Logistic Regression,0.795906432748538,0.7938433390508861,0.7492822966507177,0.8336842105263157,0.7660987722288033,experiment_wavelet_none_for_reduction
SVC,0.7936148510811913,0.8133426773152801,0.7102187286397813,0.8610526315789475,0.7509076476044093,experiment_wavelet_none_for_reduction
XGBoost,0.7795321637426901,0.7821559392987965,0.741285030758715,0.8105263157894738,0.7515498365113418,experiment_wavelet_none_for_reduction
Extra Trees,0.7737998096015233,0.7773936654320407,0.6970608339029392,0.8357894736842105,0.7285170017128582,experiment_wavelet_none_for_reduction
Random Forest,0.7608867129062967,0.7700497099224565,0.6943267259056733,0.8147368421052631,0.7212415358619931,experiment_wavelet_none_for_reduction
Gradient Boosting,0.7526995784033728,0.7436420056934654,0.7124743677375257,0.7852631578947369,0.7197308656149944,experiment_wavelet_none_for_reduction
Passive Aggressive,0.7526859785121719,0.7342570234420152,0.786261107313739,0.7263157894736842,0.7457597071940782,experiment_wavelet_none_for_reduction
AdaBoost,0.742295661634707,0.7257757944271575,0.7178742310321258,0.7621052631578948,0.7148890951604165,experiment_wavelet_none_for_reduction
Voting,0.738827689378485,0.8176434396363372,0.5560833902939166,0.8863157894736844,0.6511678645673108,experiment_wavelet_none_for_reduction
Bagging,0.7353053175574595,0.7475087767923134,0.6264524948735476,0.8231578947368421,0.675686367787364,experiment_wavelet_none_for_reduction
K-Neighbors,0.7283013735890114,0.7141856413452657,0.6710868079289132,0.7747368421052631,0.6872868669909835,experiment_wavelet_none_for_reduction
SGD Classifier,0.7189446484428125,0.7516262808286088,0.7018796992481203,0.7326315789473684,0.6710214678636188,experiment_wavelet_none_for_reduction
Bernoulli NB,0.6852441180470558,0.7246389011962784,0.4830485304169514,0.8484210526315789,0.574991294638424,experiment_wavelet_none_for_reduction
Decision Tree,0.6747314021487828,0.642175717465037,0.626555023923445,0.7136842105263158,0.6316807239269937,experiment_wavelet_none_for_reduction
Perceptron,0.6726302189582484,0.6045373779308606,0.9133971291866029,0.4778947368421053,0.7203066807103383,experiment_wavelet_none_for_reduction
Quadratic Discriminant Analysis,0.6560519515843873,0.6772859203712198,0.5195830485304169,0.7663157894736842,0.5572018405762058,experiment_wavelet_none_for_reduction
Gaussian NB,0.6467020263837889,0.631333101021208,0.5037593984962406,0.7621052631578948,0.5552764941507281,experiment_wavelet_none_for_reduction
