,Accuracy,experiment
Linear SVC,0.8261012311901504,experiment_wavelet_none
Ridge Classifier,0.8226128590971271,experiment_wavelet_none
Linear Discriminant Analysis,0.8156497948016416,experiment_wavelet_none
MLP Classifier,0.8155813953488373,experiment_wavelet_none
NuSVC,0.8085499316005473,experiment_wavelet_none
Logistic Regression,0.8016279069767442,experiment_wavelet_none
SVC,0.7969220246238031,experiment_wavelet_none
XGBoost,0.7945280437756499,experiment_wavelet_none
Gradient Boosting,0.7863474692202462,experiment_wavelet_none
Extra Trees,0.7852530779753761,experiment_wavelet_none
Random Forest,0.7643365253077976,experiment_wavelet_none
SGD Classifier,0.760766073871409,experiment_wavelet_none
Passive Aggressive,0.7585499316005473,experiment_wavelet_none
AdaBoost,0.7514911080711355,experiment_wavelet_none
Bagging,0.7456634746922026,experiment_wavelet_none
K-Neighbors,0.7433515731874146,experiment_wavelet_none
Voting,0.7364432284541723,experiment_wavelet_none
Quadratic Discriminant Analysis,0.7328043775649794,experiment_wavelet_none
Perceptron,0.6876333789329686,experiment_wavelet_none
Bernoulli NB,0.6758276333789329,experiment_wavelet_none
Gaussian NB,0.6570041039671682,experiment_wavelet_none
Decision Tree,0.6548837209302325,experiment_wavelet_none
MLP Classifier,0.7887824897400821,experiment_wavelet_butter
Ridge Classifier,0.7875239398084816,experiment_wavelet_butter
Linear Discriminant Analysis,0.786470588235294,experiment_wavelet_butter
Linear SVC,0.7864021887824897,experiment_wavelet_butter
NuSVC,0.7829138166894665,experiment_wavelet_butter
Logistic Regression,0.7689466484268126,experiment_wavelet_butter
Extra Trees,0.76781121751026,experiment_wavelet_butter
Gradient Boosting,0.764404924760602,experiment_wavelet_butter
XGBoost,0.7632558139534884,experiment_wavelet_butter
SVC,0.760766073871409,experiment_wavelet_butter
Random Forest,0.7480164158686731,experiment_wavelet_butter
Perceptron,0.7397674418604652,experiment_wavelet_butter
Bagging,0.7270725034199726,experiment_wavelet_butter
SGD Classifier,0.7260601915184679,experiment_wavelet_butter
AdaBoost,0.722421340629275,experiment_wavelet_butter
Passive Aggressive,0.7167031463748291,experiment_wavelet_butter
Voting,0.7166621067031463,experiment_wavelet_butter
K-Neighbors,0.7142544459644322,experiment_wavelet_butter
Quadratic Discriminant Analysis,0.6909165526675786,experiment_wavelet_butter
Decision Tree,0.6677291381668946,experiment_wavelet_butter
Gaussian NB,0.6476744186046511,experiment_wavelet_butter
Bernoulli NB,0.5582626538987687,experiment_wavelet_butter
NuSVC,0.7864432284541724,experiment_wavelet_cheby1
Linear SVC,0.7817647058823529,experiment_wavelet_cheby1
MLP Classifier,0.7817647058823529,experiment_wavelet_cheby1
Linear Discriminant Analysis,0.779439124487004,experiment_wavelet_cheby1
Ridge Classifier,0.7759097127222983,experiment_wavelet_cheby1
XGBoost,0.7737346101231191,experiment_wavelet_cheby1
Logistic Regression,0.7712859097127223,experiment_wavelet_cheby1
SVC,0.7712722298221615,experiment_wavelet_cheby1
Extra Trees,0.7678112175102598,experiment_wavelet_cheby1
Gradient Boosting,0.7597400820793434,experiment_wavelet_cheby1
